2026-05-10 22:05:27,656 | ERROR | main_requests | 列表页失败 start=150: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D150%26filter%3D
2026-05-10 22:05:28,658 | INFO | main_requests | -------- 第 8 页 ---------
2026-05-10 22:05:32,093 | ERROR | main_requests | 列表页失败 start=175: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D175%26filter%3D
2026-05-10 22:05:33,095 | INFO | main_requests | -------- 第 9 页 ---------
2026-05-10 22:05:35,621 | ERROR | main_requests | 列表页失败 start=200: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D200%26filter%3D
2026-05-10 22:05:36,624 | INFO | main_requests | -------- 第 10 页 ---------
2026-05-10 22:05:39,417 | ERROR | main_requests | 列表页失败 start=225: 403 Client Error: Forbidden for url: https://sec.douban.com/b?r=https%3A%2F%2Fmovie.douban.com%2Ftop250%3Fstart%3D225%26filter%3D
2026-05-10 22:05:40,419 | ERROR | main_requests | 未获取到任何数据
2026-05-11 17:40:40,546 | INFO | main_requests | -------- 第 1 页 ---------
2026-05-11 17:40:44,534 | WARNING | main_requests | 请求详情失败 https://movie.douban.com/subject/1292052/: 403 Client Error: Forbidden for url: https://sec.douban.com/c?r=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1292052%2F&_s=74c00333998fc07a32c44d9fbbee03a27cc16fe513bf1a118b55d0d3e77008a5&a=1
2026-05-11 17:40:46,598 | WARNING | main_requests | 请求详情失败 https://movie.douban.com/subject/1291546/: 403 Client Error: Forbidden for url: https://sec.douban.com/c?r=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1291546%2F&_s=b5ad1aff114392a81f7d690c151033a5f7e6247ec28ae0a983b3964cff3de988&a=1
2026-05-11 17:40:48,912 | WARNING | main_requests | 请求详情失败 https://movie.douban.com/subject/1292722/: 403 Client Error: Forbidden for url: https://sec.douban.com/c?r=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1292722%2F&_s=eeed4f875cef509bf5bfc2ce2f6d98821deb74724b12c0c57ba370986a189eee&a=1
2026-05-11 17:40:51,707 | WARNING | main_requests | 请求详情失败 https://movie.douban.com/subject/1292720/: 403 Client Error: Forbidden for url: https://sec.douban.com/c?r=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1292720%2F&_s=c01d1fe736bfc4913b1cbe12a49ef4a9da6979136a368448467450f1897cdaee&a=1
2026-05-11 17:40:54,051 | WARNING | main_requests | 请求详情失败 https://movie.douban.com/subject/1291561/: 403 Client Error: Forbidden for url: https://sec.douban.com/c?r=https%3A%2F%2Fmovie.douban.com%2Fsubject%2F1291561%2F&_s=c54a29a26f009fd633fd26ae090a0c2978398f30f1483ac3b26a7b090bb9faed&a=1
2026-05-11 18:16:19,390 | INFO | main_requests | -------- 第 1 页 ---------
2026-05-11 18:16:31,472 | ERROR | main_requests | 列表页失败 start=0: HTTPSConnectionPool(host='movie.douban.com', port=443): Max retries exceeded with url: /top250?start=0&filter= (Caused by NameResolutionError("HTTPSConnection(host='movie.douban.com', port=443): Failed to resolve 'movie.douban.com' ([Errno 11001] getaddrinfo failed)"))
2026-05-11 18:16:32,473 | INFO | main_requests | -------- 第 2 页 ---------
2026-05-11 18:19:48,318 | INFO | main_requests | HTTP 后端: curl_cffi (chrome131)
2026-05-11 18:22:21,773 | WARNING | main_requests | HTTP 后端: requests（易被豆瓣 403）；建议: pip install curl-cffi，或设置环境变量 DOUBAN_COOKIE 为浏览器 Cookie
2026-05-11 18:22:22,633 | INFO | main_requests | -------- 第 1 页 ---------
2026-05-11 18:22:26,943 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1292052/
2026-05-11 18:22:29,948 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1291546/
2026-05-11 18:22:32,733 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1292722/
2026-05-11 18:22:35,733 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1292720/
2026-05-11 18:22:37,478 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1291561/
2026-05-11 18:22:39,773 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1292063/
2026-05-11 18:22:41,065 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1889243/
2026-05-11 18:22:44,175 | WARNING | main_requests | 无标题，跳过: https://movie.douban.com/subject/1295644/
2026-05-11 18:53:38,595 | INFO | main_requests | 已写入 C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.csv、C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.json；SQLite 表 douban_top250 -> C:\Users\LENOVO\PycharmProjects\python\spider\data\movie.db
