2026-05-12 15:41:22,135 | INFO | main_selenium | [118/250] 借东西的小人阿莉埃蒂 借りぐらしのアリエッティ
2026-05-12 15:41:44,156 | INFO | main_selenium | [119/250] 菊次郎的夏天 菊次郎の夏
2026-05-12 15:42:07,183 | INFO | main_selenium | [120/250] 入殓师 おくりびと
2026-05-12 15:42:31,356 | INFO | main_selenium | [121/250] 断背山 Brokeback Mountain
2026-05-12 15:42:52,746 | INFO | main_selenium | [122/250] 剪刀手爱德华 Edward Scissorhands
2026-05-12 15:43:14,674 | INFO | main_selenium | [123/250] 勇敢的心 Braveheart
2026-05-12 15:43:37,959 | INFO | main_selenium | [124/250] 时空恋旅人 About Time
2026-05-12 15:44:00,226 | INFO | main_selenium | [125/250] 驯龙高手 How to Train Your Dragon
2026-05-12 15:44:26,158 | INFO | main_selenium | [126/250] 傲慢与偏见 Pride & Prejudice
2026-05-12 15:44:48,391 | INFO | main_selenium | [127/250] 消失的爱人 Gone Girl
2026-05-12 15:45:11,978 | INFO | main_selenium | [128/250] 无人知晓 誰も知らない
2026-05-12 15:45:34,333 | INFO | main_selenium | [129/250] 倩女幽魂
2026-05-12 15:45:56,855 | INFO | main_selenium | [130/250] 新世界 신세계
2026-05-12 15:46:19,791 | INFO | main_selenium | [131/250] 花样年华 花樣年華
2026-05-12 15:46:44,074 | INFO | main_selenium | [132/250] 玩具总动员3 Toy Story 3
2026-05-12 15:47:06,399 | INFO | main_selenium | [133/250] 一个叫欧维的男人决定去死 En man som heter Ove
2026-05-12 15:47:29,148 | INFO | main_selenium | [134/250] 色，戒
2026-05-12 15:47:50,631 | INFO | main_selenium | [135/250] 完美的世界 A Perfect World
2026-05-12 15:48:13,022 | INFO | main_selenium | [136/250] 怪兽电力公司 Monsters, Inc.
2026-05-12 15:48:37,392 | INFO | main_selenium | [137/250] 阳光灿烂的日子
2026-05-12 15:48:39,258 | ERROR | main_selenium | 抓取失败 阳光灿烂的日子: Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: MicrosoftEdge=148.0.3967.54); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	msedgedriver!GetHandleVerifier [0x7ff7f32b0f15+e235]
	msedgedriver!GetHandleVerifier [0x7ff7f32b0f74+e294]
	msedgedriver!GetHandleVerifier [0x7ff7f362a65a+38797a]
	msedgedriver!(No symbol) [0x7ff7f2fcc5e2]
	msedgedriver!(No symbol) [0x7ff7f2fe7e03]
	msedgedriver!(No symbol) [0x7ff7f3048ac1]
	msedgedriver!(No symbol) [0x7ff7f305ea1f]
	msedgedriver!(No symbol) [0x7ff7f301a30c]
	msedgedriver!(No symbol) [0x7ff7f3019566]
	msedgedriver!(No symbol) [0x7ff7f301a133]
	msedgedriver!(No symbol) [0x7ff7f30e3e49]
	msedgedriver!(No symbol) [0x7ff7f30e0413]
	msedgedriver!(No symbol) [0x7ff7f30f0672]
	msedgedriver!GetHandleVerifier [0x7ff7f32cd498+2a7b8]
	msedgedriver!GetHandleVerifier [0x7ff7f32d5e86+331a6]
	msedgedriver!GetHandleVerifier [0x7ff7f32b8274+15594]
	msedgedriver!GetHandleVerifier [0x7ff7f32b8395+156b5]
	msedgedriver!GetHandleVerifier [0x7ff7f32a56a3+29c3]
	KERNEL32!BaseThreadInitThunk [0x7fff52e7e8d7+17]
	ntdll!RtlUserThreadStart [0x7fff5514c3fc+2c]
Traceback (most recent call last):
  File "C:\Users\LENOVO\PycharmProjects\python\spider\main_selenium.py", line 555, in run_batch_from_json
    r = crawl_movie_detail(
        ^^^^^^^^^^^^^^^^^^^
  File "C:\Users\LENOVO\PycharmProjects\python\spider\main_selenium.py", line 440, in crawl_movie_detail
    driver.get(detail_url)
  File "D:\python\pytorch\ananconda\envs\practice\Lib\site-packages\selenium\webdriver\remote\webdriver.py", line 470, in get
    self.execute(Command.GET, {"url": url})
  File "D:\python\pytorch\ananconda\envs\practice\Lib\site-packages\selenium\webdriver\remote\webdriver.py", line 450, in execute
    self.error_handler.check_response(response)
  File "D:\python\pytorch\ananconda\envs\practice\Lib\site-packages\selenium\webdriver\remote\errorhandler.py", line 232, in check_response
    raise exception_class(message, screen, stacktrace)
selenium.common.exceptions.InvalidSessionIdException: Message: invalid session id: session deleted as the browser has closed the connection
from disconnected: not connected to DevTools
  (Session info: MicrosoftEdge=148.0.3967.54); For documentation on this error, please visit: https://www.selenium.dev/documentation/webdriver/troubleshooting/errors#invalidsessionidexception
Stacktrace:
	msedgedriver!GetHandleVerifier [0x7ff7f32b0f15+e235]
	msedgedriver!GetHandleVerifier [0x7ff7f32b0f74+e294]
	msedgedriver!GetHandleVerifier [0x7ff7f362a65a+38797a]
	msedgedriver!(No symbol) [0x7ff7f2fcc5e2]
	msedgedriver!(No symbol) [0x7ff7f2fe7e03]
	msedgedriver!(No symbol) [0x7ff7f3048ac1]
	msedgedriver!(No symbol) [0x7ff7f305ea1f]
	msedgedriver!(No symbol) [0x7ff7f301a30c]
	msedgedriver!(No symbol) [0x7ff7f3019566]
	msedgedriver!(No symbol) [0x7ff7f301a133]
	msedgedriver!(No symbol) [0x7ff7f30e3e49]
	msedgedriver!(No symbol) [0x7ff7f30e0413]
	msedgedriver!(No symbol) [0x7ff7f30f0672]
	msedgedriver!GetHandleVerifier [0x7ff7f32cd498+2a7b8]
	msedgedriver!GetHandleVerifier [0x7ff7f32d5e86+331a6]
	msedgedriver!GetHandleVerifier [0x7ff7f32b8274+15594]
	msedgedriver!GetHandleVerifier [0x7ff7f32b8395+156b5]
	msedgedriver!GetHandleVerifier [0x7ff7f32a56a3+29c3]
	KERNEL32!BaseThreadInitThunk [0x7fff52e7e8d7+17]
	ntdll!RtlUserThreadStart [0x7fff5514c3fc+2c]

